kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
ASAP7 RVT,min16,0.7,50,0.05715,1.5199,1.5199,1.5228,1.5228,sdf_w5000
ASAP7 RVT,min16,0.7,100,0.05715,1.5199,1.5199,1.5256,1.5256,sdf_w5000
ASAP7 RVT,min16,0.7,250,0.05715,1.5199,1.5199,1.5342,1.5342,sdf_w5000
ASAP7 RVT,min16,0.7,500,0.05715,1.5199,1.5199,1.5485,1.5485,sdf_w5000
ASAP7 RVT,min16,0.7,1000,0.05715,1.5199,1.5199,1.5771,1.5771,sdf_w5000
ASAP7 RVT,g32p50,0.7,1,0.063254,2.059,2.0589,2.059,2.059,sdf_w5000
ASAP7 RVT,g32p50,0.7,2,0.063254,2.059,2.0589,2.0591,2.0591,sdf_w5000
ASAP7 RVT,g32p50,0.7,5,0.063254,2.059,2.0589,2.0593,2.0592,sdf_w5000
ASAP7 RVT,g32p50,0.7,10,0.063254,2.059,2.0589,2.0596,2.0596,sdf_w5000
ASAP7 RVT,g32p50,0.7,20,0.063254,2.059,2.0589,2.0602,2.0602,sdf_w5000
ASAP7 RVT,g32p50,0.7,50,0.063254,2.059,2.0589,2.0621,2.0621,sdf_w5000
ASAP7 RVT,g32p50,0.7,100,0.063254,2.059,2.0589,2.0653,2.0653,sdf_w5000
ASAP7 RVT,g32p50,0.7,250,0.063254,2.059,2.0589,2.0748,2.0747,sdf_w5000
ASAP7 RVT,g32p50,0.7,500,0.063254,2.059,2.0589,2.0906,2.0906,sdf_w5000
